"Masonry Add-on Settings";"Masonry Add-on Settings"
"These settings affect all members in your community.";"These settings affect all members in your community."
"Enable masonry layout";"Enable masonry layout"
"Do you want to enable masonry layout for 'browse projects' and 'my projects' pages.";"Do you want to enable masonry layout for 'browse posts' and 'my posts' pages."
"Yes, do that.";"Yes, do that."
"No, thanks.";"No, thanks."
"Profile Favorite Media (Masonry)";"Profile Favorite Media (Masonry)"
"Profile Favorite Projects (Masonry)";"Profile Favorite Posts (Masonry)"
"Profile Projects (Masonry)";"Profile Posts (Masonry)"
"Random or Newest Media (Masonry)";"Random or Newest Media (Masonry)"
"Featured Media (Masonry)";"Featured Media (Masonry)"
"Most Popular Project (Masonry)";"Most Popular Post (Masonry)"
"Best Media (Masonry)";"Best Media (Masonry)"
"Featured Projects (Masonry)";"Featured Posts (Masonry)"